"","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","country_id"
"1",29.5,50,31.7,25.9,39.2,8,0.5,"AFG"
"2",128.6,290,97.2,75.4,97.7,314,0.8,"ALB"
"3",120.7,190,75.1,63.1,87.5,676,0.8,"DZA"
"4",369,250,100,94.7,100,2446,0.9,"AND"
"5",14.4,80,66,33.4,39.4,82,0.6,"AGO"
"6",15.8,380,99,69.8,87.5,591,0.8,"ATG"
"7",390.7,500,99.1,68.1,94.8,1140,0.8,"ARG"
"8",280.3,420,99.7,70.7,91.6,144,0.8,"ARM"
"9",349.6,380,99.9,95.9,100,3094,0.9,"AUS"
"10",523,760,99.9,93.9,100,3840,0.9,"AUT"
"11",340.2,470,99.8,65.6,89.3,238,0.8,"AZE"
"12",226.3,290,99.9,66.4,92,716,0.8,"BHS"
"13",92.2,200,94.9,72,100,1145,0.8,"BHR"
"14",47.2,80,72.9,47.6,46.9,16,0.6,"BGD"
"15",181.1,580,99.6,70.8,96.5,607,0.8,"BRB"
"16",407,1100,99.6,79,94.3,707,0.8,"BLR"
"17",301.1,620,99.9,92.9,99.5,3926,0.9,"BEL"
"18",82.8,130,94.2,55.7,87.2,359,0.7,"BLZ"
"19",15.3,50,32.9,30.8,13.9,17,0.5,"BEN"
"20",38.1,170,57,47.3,62.9,217,0.6,"BTN"
"21",47.3,110,92.5,48.8,52.6,326,0.7,"BOL"
"22",188.6,350,97,72.2,94.8,795,0.8,"BIH"
"23",38.4,180,87.7,51.5,60,521,0.7,"BWA"
"24",185.2,220,92,63.8,86.1,591,0.8,"BRA"
"25",174.6,270,96.1,76.4,96.3,1720,0.9,"BRN"
"26",399.9,680,98.4,77.2,86,798,0.8,"BGR"
"27",4.7,40,34.6,30.1,22.5,46,0.4,"BFA"
"28",2.6,80,61.6,27.4,50.5,15,0.4,"BDI"
"29",78.8,210,86.8,54.8,65.2,197,0.7,"CPV"
"30",14.3,80,80.5,39.4,48.8,50,0.6,"KHM"
"31",8.3,130,71.3,31.9,38.8,23,0.6,"CMR"
"32",253.9,270,99.9,93.8,98.5,3465,0.9,"CAN"
"33",4.7,100,36.8,18.6,25.1,4,0.4,"CAF"
"34",4.4,40,22.3,25.4,9.5,18,0.4,"TCD"
"35",103.3,220,96.9,77.9,99.9,1171,0.8,"CHL"
"36",181.2,420,95.1,77.9,75,442,0.8,"CHN"
"37",182.1,150,94.7,68.5,84.4,526,0.7,"COL"
"38",19,220,49.2,33,34.2,17,0.5,"COM"
"39",9.5,160,79.3,34.1,15,111,0.6,"COG"
"40",9.1,80,77,29.6,19.7,4,0.5,"COD"
"41",119.1,318,83.3,85.32,97.6,1007,NA,"COK"
"42",115,120,97.4,73.7,97.1,933,0.8,"CRI"
"43",14.4,40,43.9,27.3,29.9,42,0.5,"CIV"
"44",312.6,560,99.1,86.9,97.5,1334,0.8,"HRV"
"45",751.9,520,99.8,75.5,90.8,2202,0.8,"CUB"
"46",249.6,340,98.7,90.3,99.4,958,0.9,"CYP"
"47",367.7,650,99.9,89,99.1,2034,0.9,"CZE"
"48",365.5,250,99.9,92.1,99.6,4284,0.9,"DNK"
"49",22.9,140,52.5,35,51.4,56,0.5,"DJI"
"50",178,380,94.2,61.9,77.9,373,0.7,"DMA"
"51",149.4,160,93.8,61.2,82.7,428,0.7,"DOM"
"52",166.5,150,94.4,62.2,86.1,483,0.8,"ECU"
"53",81.4,160,75.1,58,93.2,151,0.7,"EGY"
"54",159.6,130,88.5,63.2,91.1,387,0.7,"SLV"
"55",25.2,210,95,49.3,74.5,197,0.6,"GNQ"
"56",5.3,70,64.7,27.6,11.3,16,0.4,"ERI"
"57",343,500,99.9,85.9,99.6,1499,0.9,"EST"
"58",14.7,210,83.1,40.5,58,460,0.6,"SWZ"
"59",2.2,30,29.8,28.1,7.1,19,0.5,"ETH"
"60",83.7,230,83.3,47.9,95.7,200,0.7,"FJI"
"61",319.6,440,99.9,95.9,99.4,3181,0.9,"FIN"
"62",323.8,650,99.9,91.7,98.7,3964,0.9,"FRA"
"63",40.6,630,82.3,40.4,40.9,359,0.7,"GAB"
"64",10.7,110,42,35.7,41.7,14,0.5,"GMB"
"65",477.6,260,99.6,67.1,84.9,291,0.8,"GEO"
"66",419.1,830,99.9,92,99.2,4626,0.9,"DEU"
"67",9.6,90,71.5,39.3,14.3,73,0.6,"GHA"
"68",625.5,430,97.4,90.4,99,1374,0.9,"GRC"
"69",66.8,370,98.6,58.5,78.3,308,0.8,"GRD"
"70",89.7,60,81.3,51.5,67.4,172,0.7,"GTM"
"71",7.5,30,32,26.4,22,13,0.5,"GIN"
"72",4.5,100,45.6,23.4,21.5,43,0.5,"GNB"
"73",21.4,160,85.6,49.8,86.2,196,0.7,"GUY"
"74",23.6,70,48.7,32.1,30.5,15,0.5,"HTI"
"75",39,70,89,46.5,79.8,184,0.6,"HND"
"76",309.3,700,99.1,82.1,98,1293,0.8,"HUN"
"77",379.1,320,99.9,97.1,98.8,3460,0.9,"ISL"
"78",75.8,70,69.3,41.2,44.2,61,0.6,"IND"
"79",20.1,120,95.4,44.5,67.9,162,0.7,"IDN"
"80",149.1,150,85.5,71.8,88.3,853,0.8,"IRN"
"81",85.4,140,43.7,51.1,85.7,154,0.7,"IRQ"
"82",296.1,280,99.9,94.6,92.2,3819,0.9,"IRL"
"83",357.6,310,99.9,84.8,100,1777,0.9,"ISR"
"84",402.1,340,98.8,94.9,99.3,2552,0.9,"ITA"
"85",47.2,170,88.1,62,85.4,324,0.7,"JAM"
"86",236.7,1340,99.9,94.1,100,3839,0.9,"JPN"
"87",342.6,140,97.9,70.2,96.7,313,0.7,"JOR"
"88",327.4,670,99.8,69.1,97.8,505,0.8,"KAZ"
"89",20.4,140,78.7,39.5,29.8,52,0.6,"KEN"
"90",20.3,190,74.3,26.5,39.8,154,0.6,"KIR"
"91",260.8,200,96.1,80.7,100,2432,0.8,"KWT"
"92",185.4,450,99.2,60.6,96.6,94,0.7,"KGZ"
"93",49.1,150,84.7,36.6,72.6,50,0.6,"LAO"
"94",320.9,580,99.9,80.7,92.9,868,0.8,"LVA"
"95",238,290,91.2,85.6,95.4,598,0.8,"LBN"
"96",4.7,130,76.6,32,43.8,155,0.5,"LSO"
"97",2.3,80,42.9,32.2,16.9,19,0.4,"LBR"
"98",209.2,370,94.2,71.1,99.7,NA,0.7,"LBY"
"99",300,505,99.9,90.69,100,2867,0.9,"LIE"
"100",437.9,730,99.8,80.5,93.6,1298,0.9,"LTU"
"101",292.1,480,99.9,96,97.6,5176,0.9,"LUX"
"102",14.3,20,71.6,29.6,9.7,43,0.5,"MDG"
"103",1.9,130,62.1,32.2,43.5,32,0.5,"MWI"
"104",153.3,190,93.7,68.1,99.6,531,0.8,"MYS"
"105",361.1,430,98.6,70.4,95.9,1182,0.7,"MDV"
"106",8.5,10,33.1,34.9,31.3,26,0.4,"MLI"
"107",390.8,470,93.3,89.9,100,2216,0.9,"MLT"
"108",45.6,270,98.3,43,86.9,492,0.7,"MHL"
"109",6.8,40,51.2,40.6,44.6,60,0.5,"MRT"
"110",200.3,340,93.2,68.7,93.1,532,0.8,"MUS"
"111",223.1,150,94.9,66.3,89.2,507,0.8,"MEX"
"112",17.7,320,74.3,41.6,54.5,120,0.6,"FSM"
"113",319.8,580,99.1,67.4,78.4,234,0.7,"MDA"
"114",664.5,1380,99.9,90.69,100,2402,NA,"MCO"
"115",326.2,700,98.3,53.4,59.2,265,0.7,"MNG"
"116",234.3,400,98.4,81,95.9,1001,0.8,"MNE"
"117",61.8,110,69.4,57.6,83.5,218,0.7,"MAR"
"118",5.5,70,56,30,23.6,33,0.4,"MOZ"
"119",56.8,90,75.6,41.6,64.7,58,0.6,"MMR"
"120",37.4,270,88.3,44.6,33.8,600,0.6,"NAM"
"121",139.4,500,95.3,64.11,65.6,757,NA,"NRU"
"122",59.8,30,59.6,40,46.1,29,0.6,"NPL"
"123",347.8,470,99.9,96.1,97.7,4252,0.9,"NLD"
"124",306.1,280,99.9,92.4,100,2882,0.9,"NZL"
"125",91.4,90,78,61.2,76.3,297,0.7,"NIC"
"126",1.9,30,30.6,28.4,12.9,15,0.4,"NER"
"127",39.5,50,51.1,41.9,32.6,28,0.5,"NGA"
"128",184,318,83.3,57.66,96.8,433,NA,"NIU"
"129",350.7,1320,77,53.4,77.1,NA,NA,"PRK"
"130",287.5,440,97.8,75.1,90.9,594,0.8,"MKD"
"131",438.5,390,99.9,96.6,98.1,5281,1,"NOR"
"132",191.5,160,96.1,76.2,99.3,2520,0.8,"OMN"
"133",97.8,60,57,37.6,58.3,40,0.6,"PAK"
"134",118.5,480,96.6,85.32,100,1131,0.8,"PLW"
"135",159.4,230,94.1,68.3,76.9,1148,0.8,"PAN"
"136",5.5,318,61.6,31.8,18.6,65,0.5,"PNG"
"137",128.6,130,95.1,56.7,91.2,396,0.7,"PRY"
"138",111.6,160,94.2,64.3,76.8,436,0.7,"PER"
"139",111,100,96.4,51.2,75,108,0.7,"PHL"
"140",229,650,94.5,82.4,98.1,1244,0.9,"POL"
"141",442.6,340,94.5,85.7,99.4,1844,0.8,"PRT"
"142",196.4,120,97.7,81.7,100,3205,0.9,"QAT"
"143",266.9,630,98.6,78.3,81.8,901,0.8,"ROU"
"144",397.5,820,99.7,75.1,88.8,757,0.8,"RUS"
"145",6.4,160,70.8,36,62.3,44,0.5,"RWA"
"146",34.4,100,99,47.6,96.6,269,0.7,"WSM"
"147",636.3,380,99.9,90.69,100,3081,NA,"SMR"
"148",54.1,290,90.1,39.3,40.1,79,0.6,"STP"
"149",256.8,270,94.4,77.1,100,2114,0.9,"SAU"
"150",6.8,30,51.9,31.1,48.4,49,0.5,"SEN"
"151",246.3,570,98.8,77.2,94.6,767,0.8,"SRB"
"152",98.4,360,94,65.6,100,1077,0.8,"SYC"
"153",2.4,40,32.4,31,14.5,27,0.4,"SLE"
"154",227.6,240,97,90.6,100,2227,0.9,"SGP"
"155",345,580,99.9,83.3,98.9,1734,0.9,"SVK"
"156",282,460,99.7,90.8,99.1,2004,0.9,"SVN"
"157",19.1,140,83.3,32.4,31.3,82,0.5,"SLB"
"158",2.9,90,52.5,19,16.2,NA,NA,"SOM"
"159",81.8,280,94.4,49.7,73.1,576,0.7,"ZAF"
"160",232.6,1150,99.9,90.3,99.9,1604,0.9,"KOR"
"161",1.5,76,26.8,26.8,10.4,28,0.4,"SSD"
"162",387.2,300,98.3,91.9,99.9,2322,0.9,"ESP"
"163",88.1,360,91.9,70.6,94.2,212,0.8,"LKA"
"164",106,230,94.2,69.58,91.9,639,0.8,"KNA"
"165",10.3,130,94.2,63.3,90.9,285,0.7,"LCA"
"166",57.4,260,94.2,57.4,87.2,314,0.7,"VCT"
"167",28,80,61.3,45.8,34.6,58,0.5,"SDN"
"168",81.7,310,92.9,54.5,79.2,630,0.7,"SUR"
"169",418.8,260,99.9,95.5,99.3,4498,0.9,"SWE"
"170",424.8,470,99.9,95.6,99.9,4939,0.9,"CHE"
"171",154.6,150,52.5,67.2,92.9,NA,0.5,"SYR"
"172",171.4,480,99.8,51.7,95.5,60,0.7,"TJK"
"173",2.2,70,77.9,33.9,23.5,45,0.5,"TZA"
"174",47,210,92.9,69.5,95,496,0.8,"THA"
"175",7.8,590,58.3,43.4,44,68,0.6,"TLS"
"176",5.3,70,63.7,32,13.9,20,0.5,"TGO"
"177",55.8,260,99.4,49.6,93.5,205,0.7,"TON"
"178",182.1,300,98.7,64.3,92.1,1151,0.8,"TTO"
"179",128.9,230,79,69.4,93.1,457,0.7,"TUN"
"180",174.9,270,96.2,74.4,96.4,854,0.8,"TUR"
"181",229.1,740,99.7,61.6,96.6,207,0.7,"TKM"
"182",109.1,560,99,57.66,91.4,508,NA,"TUV"
"183",9.3,50,70.2,31.4,19.2,19,0.5,"UGA"
"184",300,880,100,74.6,95.9,227,0.8,"UKR"
"185",155.8,120,90,70.3,100,1845,0.9,"ARE"
"186",282.5,280,99.9,90.5,99.1,3352,0.9,"GBR"
"187",256.8,290,99.9,88.7,100,8078,0.9,"USA"
"188",373.6,280,98.6,71,95.7,1404,0.8,"URY"
"189",245.1,400,100,62.9,100,192,0.7,"UZB"
"190",18.6,170,97.1,32.4,53.5,63,0.6,"VUT"
"191",192.5,80,97.1,67.8,94.9,973,0.8,"VEN"
"192",82.1,260,93.5,60.3,78.2,169,0.7,"VNM"
"193",31.1,70,52.5,43.3,59.7,72,0.5,"YEM"
"194",9.1,200,83,29,31.1,67,0.6,"ZMB"
"195",7.7,170,88.7,31.2,38.6,86,0.5,"ZWE"
